北京,https://www.aimatech.com/outlets/list?ccode=0&pcode=2&callbackparam=fwcallback&_=1563501121405
安徽,https://www.aimatech.com/outlets/list?ccode=0&pcode=3&callbackparam=fwcallback&_=1563501145562
福建,https://www.aimatech.com/outlets/list?ccode=0&pcode=4&callbackparam=fwcallback&_=1563501159973
甘肃,https://www.aimatech.com/outlets/list?ccode=0&pcode=5&callbackparam=fwcallback&_=1563501178507
广东,https://www.aimatech.com/outlets/list?ccode=0&pcode=6&callbackparam=fwcallback&_=1563501187592
广西,https://www.aimatech.com/outlets/list?ccode=0&pcode=7&callbackparam=fwcallback&_=1563501197735
贵州,https://www.aimatech.com/outlets/list?ccode=0&pcode=8&callbackparam=fwcallback&_=1563501211160
海南,https://www.aimatech.com/outlets/list?ccode=0&pcode=9&callbackparam=fwcallback&_=1563501222504
河北,https://www.aimatech.com/outlets/list?ccode=0&pcode=10&callbackparam=fwcallback&_=1563501231712
河南,https://www.aimatech.com/outlets/list?ccode=0&pcode=11&callbackparam=fwcallback&_=1563501242235
黑龙江,https://www.aimatech.com/outlets/list?ccode=0&pcode=12&callbackparam=fwcallback&_=1563501252363
湖北,https://www.aimatech.com/outlets/list?ccode=0&pcode=13&callbackparam=fwcallback&_=1563501262797
湖南,https://www.aimatech.com/outlets/list?ccode=0&pcode=14&callbackparam=fwcallback&_=1563501264705
吉林,https://www.aimatech.com/outlets/list?ccode=0&pcode=15&callbackparam=fwcallback&_=1563501307694
江苏,https://www.aimatech.com/outlets/list?ccode=0&pcode=16&callbackparam=fwcallback&_=1563501309880
江西,https://www.aimatech.com/outlets/list?ccode=0&pcode=17&callbackparam=fwcallback&_=1563501312432
辽宁,https://www.aimatech.com/outlets/list?ccode=0&pcode=18&callbackparam=fwcallback&_=1563501314428
内蒙古,https://www.aimatech.com/outlets/list?ccode=0&pcode=19&callbackparam=fwcallback&_=1563501362363
宁夏,https://www.aimatech.com/outlets/list?ccode=0&pcode=20&callbackparam=fwcallback&_=1563501363796
青海,https://www.aimatech.com/outlets/list?ccode=0&pcode=21&callbackparam=fwcallback&_=1563501364387
山东,https://www.aimatech.com/outlets/list?ccode=0&pcode=22&callbackparam=fwcallback&_=1563501365585
山西,https://www.aimatech.com/outlets/list?ccode=0&pcode=23&callbackparam=fwcallback&_=1563501366012
陕西,https://www.aimatech.com/outlets/list?ccode=0&pcode=24&callbackparam=fwcallback&_=1563501366313
上海,https://www.aimatech.com/outlets/list?ccode=0&pcode=25&callbackparam=fwcallback&_=1563501366603
四川,https://www.aimatech.com/outlets/list?ccode=0&pcode=26&callbackparam=fwcallback&_=1563501367093
天津,https://www.aimatech.com/outlets/list?ccode=0&pcode=27&callbackparam=fwcallback&_=1563501368502
西藏,https://www.aimatech.com/outlets/list?ccode=0&pcode=28&callbackparam=fwcallback&_=1563501368929
新疆,https://www.aimatech.com/outlets/list?ccode=0&pcode=29&callbackparam=fwcallback&_=1563501369420
云南,https://www.aimatech.com/outlets/list?ccode=0&pcode=30&callbackparam=fwcallback&_=1563501371512
浙江,https://www.aimatech.com/outlets/list?ccode=0&pcode=31&callbackparam=fwcallback&_=1563501373766
重庆,https://www.aimatech.com/outlets/list?ccode=0&pcode=32&callbackparam=fwcallback&_=1563501374144